"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma041",-0.000162971577552957,0.999971248253145,-1.9593332359535,-0.674544106515072,-0.000734427902853468,0.675517322693937,1.96274893797787,1.00002935382503,77342,1,0.500326666666667,"gamma0",5,2
"gamma051",-0.000101179376062571,0.999850819275934,-1.95527015337957,-0.674328600472306,-0.00188756974857329,0.671528266256772,1.96527887556362,0.99999833588035,3e+05,1,0.5008,"gamma0",6,2
"gamma061",8.87700542804151e-05,1.00068583455584,-1.95722740133178,-0.678334904106276,-0.000454410903245228,0.675270111368582,1.96164820943665,1.00000455922567,260181,1,0.49984,"gamma0",7,2
"gamma071",-0.00422868592815736,1.00025403136443,-1.97013403149655,-0.67940614679097,-0.00136606637088569,0.669999896204883,1.95342508798978,1.00002246660741,115114,1,0.500586666666667,"gamma0",8,2
"gamma081",-0.00448919625001034,0.99751727199812,-1.9574836343949,-0.677831670844082,-0.00518143747288235,0.666135366934186,1.95204031161535,1.00000003342516,3e+05,1,0.502046666666667,"gamma0",9,2
"gamma091",-0.00567093253349033,1.00224778940052,-1.96478564103815,-0.684878465942915,-0.00820478535274076,0.670605879213218,1.9628012128831,1.00000436754933,243954,1,0.50333,"gamma0",10,2
"gamma012",0.00193594488906658,1.0009685130607,-1.9641342672559,-0.673666614152762,0.00303323475103813,0.679114068902483,1.95879479619291,1.00000254170236,3e+05,1,0.501143333333333,"gamma0",1,3
"gamma013",-0.00245368699043955,0.998487672936271,-1.95708993296252,-0.674931158576009,-0.003100557533208,0.669704984306345,1.95683242313321,0.999998588282156,3e+05,1,0.501216666666667,"gamma0",2,3
"gamma022",-0.00196364620253078,0.999674337728461,-1.9588786209044,-0.678432839498165,-0.00330403011840039,0.671946535098083,1.96155252826543,0.999996067938075,3e+05,1,0.50135,"gamma0",3,3
"gamma032",0.000237135019244982,1.00002588995954,-1.95926273026474,-0.673033806392556,0.00115518267189181,0.67413847715251,1.96073870058934,0.999999351824013,3e+05,1,0.50051,"gamma0",4,3
