"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma032",0.000353127167843397,1.00114317037986,-1.96024965871363,-0.674824625828702,0.00141874216951231,0.675770188011124,1.95950352382913,1.00000935464841,170218,1,0.500646666666667,"gamma0",4,8
"gamma042",0.000605034949084687,0.997741607007692,-1.94940914674786,-0.675179467450249,0.000729283928546606,0.67174076998222,1.95849428755062,1.00000087985337,3e+05,1,0.50023,"gamma0",5,8
"gamma052",0.0026437925427105,1.00172311345576,-1.95852128120477,-0.673612905970016,0.00459407230979103,0.678677307564914,1.95932004600925,1.00000647771845,260090,1,0.50191,"gamma0",6,8
"gamma062",0.00237604177900529,0.998276645787532,-1.95871144863138,-0.668485997043569,0.00154988502123594,0.675351389806456,1.96294965782796,1.00000233979714,3e+05,1,0.50064,"gamma0",7,8
"gamma072",0.00158849561133573,1.00055284161063,-1.95821676894698,-0.673624068529611,0.00114445920313776,0.677843040710335,1.96784246669125,1.00000747985168,188610,1,0.500433333333333,"gamma0",8,8
"gamma082",0.00077889993353019,0.999608437320197,-1.95710907681323,-0.671993241577004,0.000558151097850987,0.673877524226068,1.95830007186966,1.00000453199132,3e+05,1,0.500323333333333,"gamma0",9,8
"gamma092",0.00254693980604318,0.999953870896513,-1.95823772865547,-0.672213580805839,0.00225276081810128,0.679401688268626,1.96224856975961,1.00000129973782,3e+05,1,0.500853333333333,"gamma0",10,8
"gamma014",-0.000556973157103685,0.999275332271296,-1.95645553012283,-0.676272487170387,-0.00329013725487204,0.678781706717735,1.95540416003255,1.00000320516583,3e+05,1,0.501363333333333,"gamma0",1,9
"gamma015",0.00129869043169638,0.996452483745906,-1.9535154485898,-0.67173913260757,0.00347841148062316,0.673893550948184,1.95317019163409,0.999996478555504,3e+05,1,0.50132,"gamma0",2,9
"gamma023",0.00094278728439696,1.0030066196941,-1.96265901717837,-0.675943856599794,-0.00190018226871007,0.677605495680393,1.96893890828761,1.00000580630157,3e+05,1,0.499156666666667,"gamma0",3,9
"gamma033",-0.000903793320013264,0.998309904976741,-1.95563467667206,-0.673665701400714,0.000155976837835145,0.671457862606135,1.95601052438794,1.00000128479608,3e+05,1,0.499943333333333,"gamma0",4,9
"gamma043",-0.00447115358282118,1.0009379106495,-1.96796895851454,-0.678493374537567,-0.00543348904863972,0.671762833239862,1.95736402127119,0.999996728470998,3e+05,1,0.50208,"gamma0",5,9
"gamma053",-0.00776592097205599,0.998615334738156,-1.96711200857827,-0.681500882170324,-0.00736924426023322,0.666503180929399,1.9496850608654,1.00001489273558,110806,1,0.50279,"gamma0",6,9
"gamma063",-0.00977234860325542,1.00114235657025,-1.97257698243893,-0.684536190138634,-0.00862513557989254,0.663928987719934,1.9580207728301,1.00001043651826,202189,1,0.503706666666667,"gamma0",7,9
"gamma073",-0.0104990591188156,0.999635229894783,-1.96991994539988,-0.685999439236235,-0.0103982867853825,0.66546631800663,1.95371831213863,1.00000304431606,254936,1,0.504193333333333,"gamma0",8,9
"gamma083",-0.010974817375482,0.999986174230542,-1.97429249847103,-0.686988995674121,-0.0080543120214071,0.665236729788974,1.94585567488253,1.00000087733391,3e+05,1,0.50323,"gamma0",9,9
"gamma093",-0.0102415273858995,0.999264569644126,-1.97193226977632,-0.684626889313739,-0.00895825879059303,0.663172347707758,1.94531407395981,1.00001165640907,3e+05,1,0.50338,"gamma0",10,9
"gamma016",0.00066188516357137,1.00002737468692,-1.95541252358832,-0.67448865127264,0.00118309378596657,0.675295641513887,1.96369312789481,0.999996960463152,3e+05,1,0.50045,"gamma0",1,10
"gamma017",0.00113139325827063,0.997594520698723,-1.95328775044067,-0.671696407898825,0.00112991831254202,0.672726659793481,1.95552167966071,1.00000306308686,3e+05,1,0.500493333333333,"gamma0",2,10
"gamma024",0.000861639525711906,1.00308457881233,-1.96476471550807,-0.678189553189266,-0.000382744856354278,0.677166958755564,1.96800464990465,0.999998949725374,3e+05,1,0.499873333333333,"gamma0",3,10
"gamma034",0.0017024199771649,0.997490391109682,-1.95646642493225,-0.669522466613495,0.000257540980446735,0.674006297046285,1.95594753054565,0.999997843957147,3e+05,1,0.50012,"gamma0",4,10
"gamma044",0.00582487221717156,1.00219537221805,-1.95741398221975,-0.670913813792897,0.00504600884617074,0.682470511608809,1.97303143981483,1.0000133099485,240585,1,0.501996666666667,"gamma0",5,10
"gamma054",0.00180551922365459,1.00195255149779,-1.96053648009601,-0.672999440462743,0.00128718666692791,0.672957189187668,1.97702498766496,1.00000326533231,3e+05,1,0.50055,"gamma0",6,10
"gamma064",0.00285065996668734,0.998425582748522,-1.95385945814362,-0.671961780060279,0.000751594815189944,0.676646773182442,1.95659484695321,1.00000152397376,3e+05,1,0.50031,"gamma0",7,10
"gamma074",0.00130846177562179,1.00224640607796,-1.96698868093301,-0.672786651250789,0.00273577930053702,0.677512376566222,1.96629249467442,1.00000392322001,3e+05,1,0.50102,"gamma0",8,10
"gamma084",0.00131990080606254,0.998445013452199,-1.95473106447978,-0.672972710638129,0.00120451084100992,0.674254733156038,1.96477261825528,1.00000839530867,197472,1,0.50046,"gamma0",9,10
"gamma094",-0.00316220047174219,1.00008808108286,-1.96356682075899,-0.678575081495415,0.000467821334985074,0.670433726421968,1.95732474257011,1.00001297466144,176861,1,0.499816666666667,"gamma0",10,10
