"","segment","month","year","sim","state"
"323","3","5","2","1",2
"324","4","5","2","1",2
"325","5","5","2","1",2
"326","6","5","2","1",2
"327","7","5","2","1",2
"328","8","5","2","1",2
"329","9","5","2","1",2
"330","10","5","2","1",2
"331","11","5","2","1",2
"332","12","5","2","1",2
"333","13","5","2","1",2
"334","14","5","2","1",1
"335","15","5","2","1",2
"336","16","5","2","1",2
"337","17","5","2","1",2
"338","18","5","2","1",1
"339","19","5","2","1",1
"340","20","5","2","1",2
"341","1","6","2","1",2
"342","2","6","2","1",2
"343","3","6","2","1",2
"344","4","6","2","1",2
"345","5","6","2","1",2
"346","6","6","2","1",2
"347","7","6","2","1",2
"348","8","6","2","1",2
"349","9","6","2","1",2
"350","10","6","2","1",2
"351","11","6","2","1",2
"352","12","6","2","1",2
"353","13","6","2","1",2
"354","14","6","2","1",1
"355","15","6","2","1",2
"356","16","6","2","1",2
"357","17","6","2","1",2
"358","18","6","2","1",2
"359","19","6","2","1",1
"360","20","6","2","1",1
"361","1","7","2","1",2
"362","2","7","2","1",2
"363","3","7","2","1",2
"364","4","7","2","1",2
"365","5","7","2","1",2
"366","6","7","2","1",2
"367","7","7","2","1",2
"368","8","7","2","1",2
"369","9","7","2","1",2
"370","10","7","2","1",2
"371","11","7","2","1",2
"372","12","7","2","1",2
"373","13","7","2","1",2
"374","14","7","2","1",1
"375","15","7","2","1",2
"376","16","7","2","1",2
"377","17","7","2","1",2
"378","18","7","2","1",1
"379","19","7","2","1",1
"380","20","7","2","1",1
"381","1","8","2","1",2
"382","2","8","2","1",2
"383","3","8","2","1",2
"384","4","8","2","1",2
"385","5","8","2","1",2
"386","6","8","2","1",2
"387","7","8","2","1",2
"388","8","8","2","1",2
"389","9","8","2","1",2
"390","10","8","2","1",2
"391","11","8","2","1",2
"392","12","8","2","1",2
"393","13","8","2","1",2
"394","14","8","2","1",1
"395","15","8","2","1",2
"396","16","8","2","1",2
"397","17","8","2","1",2
"398","18","8","2","1",1
"399","19","8","2","1",1
"400","20","8","2","1",2
"401","1","9","2","1",2
"402","2","9","2","1",2
"403","3","9","2","1",2
"404","4","9","2","1",2
"405","5","9","2","1",2
"406","6","9","2","1",2
"407","7","9","2","1",2
"408","8","9","2","1",2
"409","9","9","2","1",2
"410","10","9","2","1",2
"411","11","9","2","1",2
"412","12","9","2","1",2
"413","13","9","2","1",2
"414","14","9","2","1",1
"415","15","9","2","1",2
"416","16","9","2","1",2
"417","17","9","2","1",2
"418","18","9","2","1",1
"419","19","9","2","1",1
"420","20","9","2","1",2
"421","1","10","2","1",2
"422","2","10","2","1",2
"423","3","10","2","1",2
"424","4","10","2","1",2
"425","5","10","2","1",2
"426","6","10","2","1",2
"427","7","10","2","1",2
"428","8","10","2","1",2
"429","9","10","2","1",2
"430","10","10","2","1",2
"431","11","10","2","1",2
"432","12","10","2","1",2
"433","13","10","2","1",2
"434","14","10","2","1",1
"435","15","10","2","1",2
"436","16","10","2","1",2
