"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps13",0.493877211628141,0.288205166587146,0.0244675740279896,0.243139474184546,0.491035319380809,0.742535180162561,0.973357401112522,1.00040031391612,4965,0,1,"eps",0.583556316836393,2,3
"eps22",0.496988607501426,0.290806158923401,0.0229224556391288,0.24312667925075,0.496395008678987,0.749833951247102,0.975170237137129,1.00105113092128,1973,0,1,"eps",0.58513646899354,3,3
"eps32",0.500603401269484,0.289620749945059,0.0242353781587064,0.250371804258643,0.499147709032678,0.751783512949706,0.97702695725806,1.00029481270887,7532,0,1,"eps",0.578543312351868,4,3
"eps42",0.502334510058121,0.289066899807359,0.0258987809438082,0.251679767706203,0.502588721233649,0.752314983099091,0.977079108523969,1.000289372135,6979,0,1,"eps",0.575447025875076,5,3
"eps52",0.491698190667581,0.2870811429244,0.0236890683779524,0.243480246312874,0.488508823275033,0.73773310586816,0.971479505006015,1.00012231787036,24303,0,1,"eps",0.58385641512048,6,3
"eps62",0.486566399422375,0.2868214863356,0.0233435227766821,0.237533086855634,0.481868644030761,0.731571611576937,0.971107528425552,1.00040334819198,4948,0,1,"eps",0.589480668365302,7,3
"eps72",0.495244259136359,0.287909286032954,0.0234126234686352,0.245289093937055,0.495449238541503,0.743446358575589,0.972110263748243,1.0000353536146,62920,0,1,"eps",0.581348053453523,8,3
"eps82",0.499889638479447,0.288213704965038,0.0253321786997649,0.251291695802287,0.498909346631981,0.749292671739276,0.974019716496917,1.00004183365453,55495,0,1,"eps",0.576554668829945,9,3
"eps92",0.500532509984556,0.288632879747605,0.0253684485997402,0.250834621449149,0.500871323189652,0.75021105024415,0.974983307164157,1.00098001154537,2141,0,1,"eps",0.576651614011068,10,3
"eps14",0.496820754308428,0.287022577558372,0.0254485806193926,0.248347704894508,0.495004064813597,0.744785464473636,0.972904948499883,1.00018166624752,32982,0,1,"eps",0.577718573689431,1,4
"eps15",0.50399405956867,0.288876927412302,0.0266973989788526,0.253915471216432,0.503820327072839,0.754253444604419,0.976837625956194,1.00019005729672,11009,0,1,"eps",0.573175262540851,2,4
"eps23",0.5056466813014,0.287724595848935,0.0272255544611987,0.256911602766435,0.508254034935914,0.755299598126826,0.975191653498418,1.00061619702315,3331,0,1,"eps",0.569023008533168,3,4
"eps33",0.505831298362808,0.289344548848507,0.0266618525018753,0.254760343922934,0.507713257307028,0.757321469461468,0.976637101499238,1.00053246736302,3796,0,1,"eps",0.572017883798434,4,4
"eps43",0.506489111985697,0.289023629823569,0.0266493405926842,0.257034687687336,0.507767271790447,0.758102010621858,0.976739811690126,1.00012791896769,15186,0,1,"eps",0.570641348420005,5,4
"eps53",0.503554488324926,0.286943295716865,0.026923455698739,0.256274906678012,0.506668461577988,0.751501362781784,0.973761958910302,1.00004466210269,67300,0,1,"eps",0.569835643152307,6,4
"eps63",0.503742258078177,0.286708392235361,0.0267179590705435,0.256596905395831,0.505152606055176,0.751830067772203,0.974195122966557,1.00000031888438,3e+05,0,1,"eps",0.569156920305196,7,4
"eps73",0.507464098246413,0.287301332572922,0.0285806890565796,0.261424447421335,0.507780366023302,0.75696527761572,0.976396255958152,1.00012209519813,19769,0,1,"eps",0.56615105101172,8,4
"eps83",0.502561374571959,0.286513045989364,0.027783298506574,0.256744934982543,0.501303686507796,0.749627035565487,0.974739453262549,1.00021137236986,11064,0,1,"eps",0.570105584085909,9,4
"eps93",0.500372171973245,0.286710849632692,0.0283970660732157,0.251627113197491,0.499851056152667,0.748216810939941,0.973688805135854,1.00005613645767,35550,0,1,"eps",0.572995193761539,10,4
"eps16",0.504170090689479,0.286290919811619,0.0273451888843354,0.258383226821466,0.505288185471223,0.751808785732174,0.974267737122952,1.00006216293442,40605,0,1,"eps",0.567845901806872,1,5
"eps17",0.507681314929296,0.285802089057507,0.0297120927017934,0.261997045038895,0.511843918583407,0.75449747641945,0.974942822067137,1.00008613321068,24923,0,1,"eps",0.562955698098344,2,5
"eps24",0.506166671424529,0.287016740588245,0.0276988587784411,0.258372459703199,0.509205889082428,0.755069476586829,0.974079036031995,1.0000699064375,68835,0,1,"eps",0.567039982661206,3,5
"eps34",0.50807325434076,0.284763110454031,0.0293897563911236,0.265010921425134,0.512004165913454,0.753116761310359,0.975040021445778,1.00011329742384,29417,0,1,"eps",0.560476482517309,4,5
"eps44",0.513648848756266,0.286837926498647,0.0307672054661284,0.267251326447903,0.518403344036456,0.764097687973442,0.976167320416452,1.00013056745763,16278,0,1,"eps",0.558431946636671,5,5
"eps54",0.519760599946367,0.287436048570298,0.0306914551376814,0.273646778523563,0.528972490324394,0.769965416864536,0.977738226009321,1.00008623992872,24935,0,1,"eps",0.553016232088308,6,5
"eps64",0.523077999248621,0.288078082607098,0.031226393763173,0.277398552213486,0.532092319060723,0.775106168209884,0.97994905645128,1.00092370233945,2183,0,1,"eps",0.55073637778861,7,5
"eps74",0.522283474378531,0.288406082425196,0.0311620744354688,0.275523554779718,0.531015736683456,0.774233410251168,0.980095118704912,1.00019270326581,10755,0,1,"eps",0.552202197797609,8,5
"eps84",0.52305170820628,0.288563877511563,0.0297094497770581,0.275530727135732,0.533997301789693,0.774815421115885,0.979193629912141,1.00100909904509,2004,0,1,"eps",0.551692830716767,9,5
"eps94",0.532460069990944,0.288910192272186,0.0324082886230077,0.285824984348835,0.545368903733395,0.787015360648328,0.981674163844065,1.00019070773156,12559,0,1,"eps",0.542595038679802,10,5
