"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma123",-0.00158281658732446,1.33525389321349,-2.62171547280677,-0.901178026377629,-0.0028382788695892,0.897316922540394,2.61914944524384,1.00000451551457,234380,1,0.500823333333333,"gamma1",3,4
"gamma133",-0.00339267467895092,0.862329218304338,-1.69591369689501,-0.584552135564849,-0.00306395706778197,0.575092770000974,1.68745513612855,1.00000417855146,274406,1,0.501353333333333,"gamma1",4,4
"gamma143",-0.00620361240678408,1.07527534123242,-2.11108647751711,-0.731828609921116,-0.00904156085731488,0.720327565150838,2.10415005362421,1.0000083348828,224873,1,0.503403333333333,"gamma1",5,4
"gamma153",-0.00662838783651304,0.962358821264036,-1.8960922148337,-0.652811381609982,-0.0083126800150387,0.640836488374191,1.88092094860532,1.00000367177262,3e+05,1,0.503513333333333,"gamma1",6,4
"gamma163",-0.00320848983942507,1.01916334846973,-1.99744292317379,-0.692018214775527,-0.00236588472764137,0.68390478485361,1.99480702050158,1.00000012662393,3e+05,1,0.500926666666667,"gamma1",7,4
"gamma173",-0.00048748954749131,0.991517571339601,-1.94670110818745,-0.670302168909786,-0.00122281036104277,0.669824417585078,1.94274382695076,1.00001541785298,98123,1,0.500523333333333,"gamma1",8,4
"gamma183",1.40965641554015e-05,1.00524060711915,-1.96618700190733,-0.67854303187935,0.00162332524612589,0.676939489517857,1.9760855621333,1.0000086881168,3e+05,1,0.500623333333333,"gamma1",9,4
"gamma193",0.00238953672773242,0.997241199929352,-1.95101528702743,-0.670319854990147,0.00254577144707331,0.675918028430097,1.95514916464522,1.00000258410164,3e+05,1,0.50108,"gamma1",10,4
"gamma116",0.0028962826239213,3.16500701659449,-6.19923795819826,-2.13363017074223,0.00622659590362005,2.13339073462057,6.22186440132128,0.999997832195959,3e+05,1,0.500726666666667,"gamma1",1,5
"gamma117",0.00409393916135154,0.562178132439786,-1.10071703246421,-0.374812603500794,0.00551269490545968,0.384336256507699,1.10500143970401,1.00000202706212,3e+05,1,0.503803333333333,"gamma1",2,5
"gamma124",0.00482790684975984,1.33096984670549,-2.60775587266457,-0.895416453973527,0.00326856981010434,0.906961838178472,2.61039541785286,0.999999204622986,3e+05,1,0.500983333333333,"gamma1",3,5
"gamma134",0.00277274065677576,0.866561907896219,-1.69771970608054,-0.581279205117053,0.0037464664758369,0.588186562744016,1.70117975790813,1.00001223308908,145419,1,0.501643333333333,"gamma1",4,5
"gamma144",0.00424104915070364,1.0762108933716,-2.10553894915468,-0.719005967015021,0.00422850346969141,0.727201787086911,2.11538824018507,1.00001477184843,138895,1,0.501576666666667,"gamma1",5,5
"gamma154",0.00163419933471513,0.961833999445664,-1.88417053933993,-0.649013746730903,0.00313680577102526,0.651114328891826,1.88821749409244,1.00000539627834,200751,1,0.501336666666667,"gamma1",6,5
"gamma164",0.000297100765182371,1.02058346641875,-1.99867684125026,-0.687733133592723,-0.00213998702458483,0.688055024795421,2.00331781550543,0.999999497345714,3e+05,1,0.499213333333333,"gamma1",7,5
"gamma174",0.0003971006201748,0.991036609753094,-1.93855503124355,-0.667232547095938,0.00117176194930113,0.669414785234139,1.94537774887752,1.00000997891545,177870,1,0.50043,"gamma1",8,5
"gamma184",0.000113341869246465,1.00563614780766,-1.97160123818192,-0.68059223403961,-0.00196784741745845,0.678348450346689,1.96820140902504,1.0000016785821,3e+05,1,0.499266666666667,"gamma1",9,5
"gamma194",0.00114459389356659,0.99636402270076,-1.94950037950684,-0.670170103531424,-5.41311791790543e-05,0.670664798438326,1.96200400276399,1.00001622981229,122524,1,0.499983333333333,"gamma1",10,5
