"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps42",0.500919340927123,0.287905245103684,0.026079057868497,0.251900001280567,0.501682511401843,0.749439611975083,0.974816294796045,1.00002112370022,83499,0,1,"eps",0.574753701006667,5,3
"eps52",0.50076881779885,0.288297578307391,0.0257285104759948,0.251565283405335,0.500710270099159,0.750811158144042,0.974806847694583,0.999999212626436,3e+05,0,1,"eps",0.57570992454086,6,3
"eps62",0.500157769783892,0.287809812328049,0.0258830699593236,0.25116986351079,0.500020457542424,0.748946249566752,0.974708430707224,1.00000169527942,3e+05,0,1,"eps",0.575438051182142,7,3
"eps72",0.500354385599757,0.287884786654714,0.0261125440812312,0.251163244024627,0.50010087617749,0.749526069996464,0.974407681501112,1.00000576638965,194248,0,1,"eps",0.575361773455101,8,3
"eps82",0.50010982300824,0.288018031742494,0.0253174463768251,0.250367393082435,0.500811865616431,0.748571179893252,0.974399135487453,1.00000115834857,3e+05,0,1,"eps",0.57590956724269,9,3
"eps92",0.501448631816455,0.288212664453947,0.0251825492751211,0.252388305891282,0.502631683929138,0.75149061234645,0.974517156375538,1.00001075699387,131059,0,1,"eps",0.574760097380106,10,3
"eps14",0.500167490575263,0.288733425854412,0.0247048774617724,0.250652325863484,0.499894284410402,0.750293210730888,0.974967688240576,0.999996337980411,3e+05,0,1,"eps",0.577273475975674,1,4
"eps15",0.500499759422825,0.289130516244311,0.0247404234178407,0.250401905313543,0.500788861472071,0.751311299324367,0.975734871224261,1.00001607325345,111235,0,1,"eps",0.577683626816794,2,4
"eps23",0.500911411683841,0.289004986534074,0.0248533626905694,0.251088399267477,0.501072366849022,0.751910121270327,0.975523221589497,0.999999587532321,3e+05,0,1,"eps",0.576958280033126,3,4
"eps33",0.501519432122233,0.28878394518705,0.0250904903917831,0.252152700330818,0.501111677408608,0.751350008836717,0.975726647985098,0.99999670508735,3e+05,0,1,"eps",0.575818057467942,4,4
"eps43",0.502099690155028,0.288507999369141,0.0253322917629382,0.253234904578016,0.502864643337362,0.75223089252033,0.974690817604791,1.00000362315073,257625,0,1,"eps",0.574603022121087,5,4
"eps53",0.502152827642995,0.288835271649006,0.0257733138048922,0.251583021847799,0.503202237891277,0.752710192444666,0.975543474021304,1.00000600810926,229093,0,1,"eps",0.575193956399173,6,4
"eps63",0.501647758469277,0.288697009390741,0.0253372414524426,0.252147521281207,0.501914608296034,0.752322861772609,0.975274400675412,1.00000546746453,228120,0,1,"eps",0.575497457163306,7,4
"eps73",0.501231004498223,0.288834127636646,0.0253608422783082,0.250985079513222,0.502364967305453,0.751403325105849,0.975507576960362,0.999999488617899,3e+05,0,1,"eps",0.576249523761594,8,4
"eps83",0.501237012994452,0.288945597023593,0.0252405908433955,0.251182227122408,0.501209711541089,0.752164523319116,0.975921258557345,1.00000089722761,3e+05,0,1,"eps",0.576465004644003,9,4
"eps93",0.500592402857839,0.289029342517763,0.0248838529133686,0.249958925905065,0.5008629234425,0.75121586754289,0.975418832791573,0.999996417305973,3e+05,0,1,"eps",0.577374608299526,10,4
"eps16",0.500078918105677,0.288272937515346,0.0253457483951934,0.251038312388118,0.499880212242715,0.749068481381983,0.974933632550528,1.00000472983011,230161,0,1,"eps",0.576454889574905,1,5
"eps17",0.500366054069718,0.288227019310746,0.0253965057878264,0.250967890253166,0.501175993249563,0.749521099704088,0.974858723007636,0.999998216254329,3e+05,0,1,"eps",0.576032320670951,2,5
"eps24",0.501319698777998,0.288107419750643,0.0253575695674943,0.252232704620777,0.50134963470229,0.750619512543831,0.975485010020308,0.999998407173357,3e+05,0,1,"eps",0.57469798304939,3,5
"eps34",0.501455448065909,0.288216078280495,0.0254725114413383,0.252568757160645,0.502235770088341,0.751904542324806,0.974679785859414,0.999996814487427,3e+05,0,1,"eps",0.574759092541783,4,5
"eps44",0.501604383826899,0.287967072627955,0.0255865080802251,0.252347426140644,0.50225403135022,0.750228992978416,0.975311875369059,1.00000937234226,140334,0,1,"eps",0.5740920173603,5,5
"eps54",0.502682065589411,0.287864828219047,0.0260806343051571,0.254042783841858,0.503697074894958,0.752120853723011,0.974701565942351,1.00001716214323,95604,0,1,"eps",0.57265784463887,6,5
"eps64",0.5026968047836,0.288051681959078,0.0263404250801615,0.254184467594061,0.503248768914035,0.752209059461194,0.975074862951425,0.999998040632637,3e+05,0,1,"eps",0.573012756830785,7,5
"eps74",0.502315528621998,0.288290199386401,0.026428863298016,0.253273670435793,0.502755412442598,0.751979673363205,0.975190519514728,0.999995967825521,3e+05,0,1,"eps",0.573922530679606,8,5
"eps84",0.50202192536842,0.288422945545822,0.0255364972122745,0.253440721518438,0.502015078876,0.752005882819136,0.975333464153059,1.00000604103021,194550,0,1,"eps",0.574522607422287,9,5
"eps94",0.502669058425418,0.288473884049838,0.0258560601333662,0.253293474234718,0.503600919673174,0.75325036925763,0.975196699647866,1.00000534450648,236709,0,1,"eps",0.573884306612118,10,5
