"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma093",-0.00350436651602322,0.998821122548487,-1.9551245698868,-0.680225815137093,-0.00331407058938392,0.671207550776867,1.96076412157777,1.00000737308678,3e+05,1,0.501296666666667,"gamma0",10,9
"gamma016",0.00192983513158666,1.00096006229158,-1.9555486035223,-0.673043230270442,0.00238987419602514,0.676751040901308,1.96372878648223,1.0000088793996,3e+05,1,0.50086,"gamma0",1,10
"gamma017",0.000910158994733896,0.997861057840277,-1.95719255476305,-0.671653488358561,-0.000334837186972215,0.673554728619399,1.961931949173,0.999999396628538,3e+05,1,0.49987,"gamma0",2,10
"gamma024",-0.00153070562955433,0.999376318883085,-1.9551282375832,-0.67579528365132,-0.00338095625543201,0.671272536440489,1.96273670821577,1.00003931609011,47032,1,0.5015,"gamma0",3,10
"gamma034",-0.00190744366369334,1.00172131235287,-1.9640329647208,-0.676964562510704,-0.000484897094785807,0.674999698587609,1.96155183713443,1.0000010563568,3e+05,1,0.500183333333333,"gamma0",4,10
"gamma044",-0.00366532778329921,0.995645482301103,-1.95240049766373,-0.673815221305888,-0.00477420892449037,0.665374966278703,1.95034259347366,1.00000029471583,3e+05,1,0.501946666666667,"gamma0",5,10
"gamma054",-0.00567005558533727,1.00182132012994,-1.97261213704645,-0.680052514830323,-0.00658768924890065,0.669590807833606,1.96181868453088,1.00000579956389,281247,1,0.50259,"gamma0",6,10
"gamma064",-0.0062070938620159,0.998889089216637,-1.97145785566711,-0.679295400828535,-0.00626421635637196,0.667632879009389,1.94828725125139,1.00000043411437,3e+05,1,0.50254,"gamma0",7,10
"gamma074",-0.00277375987377944,1.00070441826302,-1.95873467911417,-0.679063567531184,-0.00228734301433799,0.672108923310801,1.95668781926365,1.00001532513945,119099,1,0.500883333333333,"gamma0",8,10
"gamma084",-0.00459480933699284,0.99897564639208,-1.96786948665568,-0.676087244505435,-0.00352144008999492,0.668311695216271,1.95164592984774,1.00000192515456,3e+05,1,0.501406666666667,"gamma0",9,10
"gamma094",-0.00422624052439191,1.00194306261702,-1.96686524406911,-0.681181433631361,-0.00621080780374064,0.673306742714844,1.95548865713638,1.00000742205707,3e+05,1,0.50256,"gamma0",10,10
